deck_name;rank;count;share;winrate
Dragapult;1;3627;8,04;53,24
Mega Excadrill;2;3172;7,03;48,68
Alakazam Dudunsparce;3;2722;6,03;52,39
Dragapult Dusknoir;4;2537;5,62;50,24
Festival Lead;5;2491;5,52;50,71
Dragapult Blaziken;6;2487;5,51;52,93
Slowking;7;2457;5,44;51,83
N's Zoroark;8;2390;5,3;47,94
Dhelmise;9;1778;3,94;48,86
Grimmsnarl Froslass;10;1774;3,93;50,99
Toucannon;11;1049;2,32;47,17
Raging Bolt Ogerpon;12;945;2,09;52,61
Mega Lucario;13;915;2,03;50,21
Basic Box;14;857;1,9;51,87
Lucario Hariyama;15;827;1,83;48,6
Mega Greninja;16;648;1,44;41,88
Ogerpon Meganium Hydrapple;17;634;1,4;51,98
Rocket's Honchkrow;18;585;1,3;51,8
Cynthia's Garchomp;19;564;1,25;51,77
Crustle;20;505;1,12;50,47
Mega Chandelure;21;493;1,09;43,4
Beedrill;22;472;1,05;50,12
Rocket's Mewtwo;23;417;0,92;44,94
Mega Absol Box;24;396;0,88;46,93
Lopunny Dudunsparce;25;359;0,8;53,24
Kangaskhan Bouffalant;26;357;0,79;51,0
Greninja;27;348;0,77;50,34
Hop's Trevenant;28;332;0,74;46,31
Lopunny Dusknoir;29;330;0,73;49,09
Starmie Froslass;30;325;0,72;48,8
Toxtricity Box;31;312;0,69;50,4
Manectric Eelektrik;32;310;0,69;42,54
Ethan's Typhlosion;33;307;0,68;46,1
Dragapult Dudunsparce;34;273;0,6;53,7
Ogerpon Meganium Arboliva;35;266;0,59;56,42
Ceruledge;36;264;0,58;48,34
Mega Venusaur;37;240;0,53;43,34
Mega Darkrai;38;215;0,48;37,47
Mega Starmie;39;204;0,45;50,64
Starmie Dusknoir;40;205;0,45;47,08
Alakazam Dusknoir;41;189;0,42;51,31
Cinccino;42;183;0,41;49,38
Sharpedo Toxtricity;43;181;0,4;47,9
Steven's Metagross;44;157;0,35;50,8
Toxtricity;45;156;0,35;36,39
Blaziken Zoroark;46;142;0,31;47,24
Clefairy Ogerpon;47;130;0,29;49,74
Okidogi Barbaracle;48;116;0,26;48,42
Froslass Munkidori;49;117;0,26;41,09
Wailord;50;115;0,26;38,37
Lillie's Clefairy;51;110;0,24;49,3
Mega Abomasnow;52;103;0,23;37,0
Mega Froslass;53;103;0,23;36,49
Mega Charizard X;54;95;0,21;33,76
Metagross;55;91;0,2;47,94
Hydreigon;56;90;0,2;35,42
Flareon Noctowl;57;88;0,19;45,28
Mega Dragonite;58;80;0,18;48,46
Doublade;59;82;0,18;44,08
Hop's Zacian;60;79;0,18;43,26
Diancie Dusknoir;61;78;0,17;46,58
Tera Box;62;73;0,16;50,68
Seaking Festival Lead;63;72;0,16;50,0
Marnie's Grimmsnarl;64;70;0,16;45,26
Ogerpon Meganium;65;61;0,14;38,89
Erika's Victreebel;66;62;0,14;40,57
Zygarde Barbaracle;67;59;0,13;47,62
Palafin;68;57;0,13;48,54
Froslass Dudunsparce;69;60;0,13;39,75
Iron Thorns;70;56;0,12;31,98
Iono's Bellibolt;71;48;0,11;41,54
Ursaluna Lunatone;72;49;0,11;40,32
Bronzong;73;47;0,1;45,7
Azumarill;74;44;0,1;43,11
Yanmega;75;40;0,09;44,91
Archaludon;76;42;0,09;35,33
Decidueye;77;42;0,09;32,65
Mega Feraligatr;78;42;0,09;30,37
Mega Camerupt;79;38;0,08;33,33
Archaludon Dudunsparce;80;33;0,07;32,52
Dudunsparce Control;81;26;0,06;42,15
Alakazam;82;27;0,06;47,46
Joltik Box;83;29;0,06;43,97
Jellicent Dusknoir;84;28;0,06;40,95
Dragapult Froslass;85;27;0,06;47,57
Archaludon Zoroark;86;25;0,06;41,86
Sinistcha Ogerpon;87;23;0,05;56,06
Rocket's Nidoking;88;24;0,05;38,14
Eelektrik;89;23;0,05;36,79
Misty's Gyarados;90;22;0,05;36,26
Rocket's Spidops;91;22;0,05;38,2
Ethan's Magcargo;92;24;0,05;35,71
Greninja Blaziken;93;22;0,05;54,22
Mamoswine;94;24;0,05;37,04
Blaziken;95;22;0,05;35,21
Mega Zygarde;96;20;0,04;36,36
Sylveon;97;19;0,04;33,33
Blissey;98;18;0,04;48,65
Terapagos Noctowl;99;17;0,04;40,85
Gengar;100;17;0,04;30,3
Mega Lopunny;101;18;0,04;38,46
Paldean Tauros;102;17;0,04;50,0
Feraligatr;103;16;0,04;36,36
Mega Gengar;104;16;0,04;11,11
Scizor;105;12;0,03;44,74
Raging Bolt Bellibolt;106;10;0,02;42,86
Dragapult Zoroark;107;8;0,02;48,72
Mega Manectric;108;7;0,02;51,52
Mega Latias;109;8;0,02;34,38
Flygon;110;10;0,02;35,48
Mega Sharpedo;111;9;0,02;26,92
Toxtricity Brute Bonnet;112;6;0,01;56,25
Scovillain;113;6;0,01;46,88
Luxray;114;6;0,01;41,67
Mega Diancie;115;5;0,01;45,83
Dragonite Eelektrik;116;5;0,01;31,82
Tyranitar;117;5;0,01;31,82
Cinderace;118;5;0,01;47,62
Zoroark Crustle;119;6;0,01;45,0
Flareon;120;5;0,01;35,29
Cornerstone Mask Ogerpon;121;3;0,01;16,67
Bloodmoon Ursaluna;122;3;0,01;12,5
Hydrapple;123;3;0,01;20,0
Alolan Exeggutor ex;124;2;0,0;27,27
Okidogi;125;3;0,0;40,0
Rocket's Porygon-Z;126;2;0,0;40,0
Incineroar;127;2;0,0;40,0
Farigiraf;128;2;0,0;40,0
Slaking;129;2;0,0;33,33
Raging Bolt;130;2;0,0;11,11
Zoroark Lucario;131;1;0,0;66,67
Hydrapple Ogerpon;132;2;0,0;60,0
Heatran Metang;133;2;0,0;25,0
Milotic;134;1;0,0;33,33
Dragapult Iron Thorns;135;1;0,0;50,0
Salamence;136;1;0,0;0,0
Future Box;137;1;0,0;0,0
Galvantula;138;1;0,0;0,0
Ancient Box;139;1;0,0;0,0
