deck_name;opponent;win_rate;record;total_games
Charizard Noctowl;Mega Absol Box;50,55;184 - 180 - 7;371
Charizard Noctowl;Charizard Noctowl;50,0;345 - 345 - 26;716
Charizard Noctowl;N's Zoroark;49,7;165 - 167 - 10;342
Charizard Noctowl;Grimmsnarl Froslass;47,67;205 - 225 - 11;441
Charizard Noctowl;Greninja;46,98;70 - 79 - 3;152
Charizard Noctowl;Kangaskhan Bouffalant;46,28;199 - 231 - 12;442
Charizard Noctowl;Dragapult Charizard;41,43;87 - 123 - 2;212
Charizard Noctowl;Dragapult Dusknoir;40,18;530 - 789 - 29;1348
Charizard Pidgeot;Flareon Noctowl;60,19;65 - 43 - 4;112
Charizard Pidgeot;Gardevoir;57,65;177 - 130 - 10;317
Charizard Pidgeot;Gardevoir Jellicent;56,77;264 - 201 - 26;491
Charizard Pidgeot;Mega Venusaur;54,47;67 - 56 - 2;125
Charizard Pidgeot;Mega Absol Box;54,4;204 - 171 - 17;392
Charizard Pidgeot;N's Zoroark;53,14;161 - 142 - 8;311
Charizard Pidgeot;Lopunny Dusknoir;52,42;141 - 128 - 10;279
Charizard Pidgeot;Raging Bolt Ogerpon;52,05;114 - 105 - 4;223
Charizard Pidgeot;Ceruledge;51,72;120 - 112 - 5;237
Charizard Pidgeot;Greninja;51,52;51 - 48 - 1;100
Charizard Pidgeot;Tera Box;51,32;97 - 92 - 5;194
Charizard Pidgeot;Sharpedo Toxtricity;50,37;68 - 67 - 7;142
Charizard Pidgeot;Charizard Pidgeot;50,0;200 - 200 - 8;408
Charizard Pidgeot;Alakazam Dudunsparce;46,84;163 - 185 - 2;350
Charizard Pidgeot;Gholdengo Lunatone;46,58;408 - 468 - 14;890
Charizard Pidgeot;Kangaskhan Bouffalant;44,52;138 - 172 - 10;320
Charizard Pidgeot;Dragapult Dusknoir;43,56;419 - 543 - 20;982
Charizard Pidgeot;Charizard Noctowl;42,06;180 - 248 - 11;439
Charizard Pidgeot;Grimmsnarl Froslass;37,01;114 - 194 - 5;313
Charizard Pidgeot;Dragapult Charizard;32,89;50 - 102 - 6;158
Alakazam Dudunsparce;Ceruledge;73,93;156 - 55 - 2;213
Alakazam Dudunsparce;Kangaskhan Bouffalant;71,1;251 - 102 - 5;358
Alakazam Dudunsparce;Sharpedo Toxtricity;63,25;74 - 43 - 2;119
Alakazam Dudunsparce;Mega Venusaur;62,79;81 - 48 - 2;131
Alakazam Dudunsparce;Gholdengo Lunatone;61,31;523 - 330 - 11;864
Alakazam Dudunsparce;Raging Bolt Ogerpon;61,31;122 - 77 - 5;204
Alakazam Dudunsparce;Tera Box;58,22;85 - 61 - 3;149
Alakazam Dudunsparce;Flareon Noctowl;54,33;69 - 58 - 5;132
Alakazam Dudunsparce;Charizard Pidgeot;53,16;185 - 163 - 2;350
Alakazam Dudunsparce;Lopunny Dusknoir;52,82;103 - 92 - 1;196
Alakazam Dudunsparce;Greninja;52,43;54 - 49 - 2;105
Alakazam Dudunsparce;Mega Absol Box;52,31;170 - 155 - 10;335
Alakazam Dudunsparce;Alakazam Dudunsparce;50,0;186 - 186 - 6;378
Alakazam Dudunsparce;N's Zoroark;46,1;124 - 145 - 4;273
Alakazam Dudunsparce;Gardevoir Jellicent;44,91;194 - 238 - 17;449
Alakazam Dudunsparce;Gardevoir;37,97;101 - 165 - 10;276
Alakazam Dudunsparce;Charizard Noctowl;37,66;177 - 293 - 9;479
Alakazam Dudunsparce;Dragapult Dusknoir;37,21;352 - 594 - 22;968
Alakazam Dudunsparce;Grimmsnarl Froslass;37,02;144 - 245 - 9;398
Alakazam Dudunsparce;Dragapult Charizard;36,78;64 - 110 - 5;179
Mega Absol Box;Gardevoir Jellicent;58,57;246 - 174 - 17;437
Mega Absol Box;Grimmsnarl Froslass;58,11;172 - 124 - 6;302
Mega Absol Box;Gardevoir;55,99;159 - 125 - 5;289
Mega Absol Box;Dragapult Dusknoir;55,68;480 - 382 - 25;887
Mega Absol Box;Flareon Noctowl;51,06;48 - 46 - 5;99
Mega Absol Box;Mega Absol Box;50,0;182 - 182 - 16;380
Mega Absol Box;Kangaskhan Bouffalant;49,66;147 - 149 - 15;311
Mega Absol Box;Ceruledge;49,56;113 - 115 - 8;236
Mega Absol Box;Charizard Noctowl;49,45;180 - 184 - 7;371
Mega Absol Box;Tera Box;49,39;81 - 83 - 2;166
Mega Absol Box;Dragapult Charizard;48,68;74 - 78 - 5;157
Mega Absol Box;N's Zoroark;48,63;124 - 131 - 11;266
Mega Absol Box;Alakazam Dudunsparce;47,69;155 - 170 - 10;335
Mega Absol Box;Charizard Pidgeot;45,6;171 - 204 - 17;392
Mega Absol Box;Gholdengo Lunatone;45,17;337 - 409 - 21;767
Mega Absol Box;Lopunny Dusknoir;44,59;99 - 123 - 1;223
Mega Absol Box;Sharpedo Toxtricity;44,09;41 - 52 - 1;94
Mega Absol Box;Greninja;41,41;41 - 58 - 1;100
Mega Absol Box;Mega Venusaur;39,36;37 - 57 - 1;95
Mega Absol Box;Raging Bolt Ogerpon;37,79;82 - 135 - 8;225
Grimmsnarl Froslass;Charizard Pidgeot;62,99;194 - 114 - 5;313
Grimmsnarl Froslass;Alakazam Dudunsparce;62,98;245 - 144 - 9;398
Grimmsnarl Froslass;Gardevoir Jellicent;60,05;236 - 157 - 9;402
Grimmsnarl Froslass;Gardevoir;59,0;141 - 98 - 8;247
Grimmsnarl Froslass;Dragapult Charizard;56,02;107 - 84 - 6;197
