deck_name;status;trend;old_rank;new_rank;rank_change;old_count;new_count;count_change;old_share;new_share;share_change;old_winrate;new_winrate;winrate_change
Raging Bolt;BESTEHEND;STABIL;59;59;0;85;85;0;0,18;0,18;0,0;41,26;41,26;0,0
Mega Abomasnow;BESTEHEND;STABIL;60;60;0;74;74;0;0,16;0,16;0,0;38,71;38,71;0,0
Iron Thorns Crustle;BESTEHEND;STABIL;61;61;0;71;71;0;0,15;0,15;0,0;48,63;48,63;0,0
Zoroark Crustle;BESTEHEND;STABIL;62;62;0;68;68;0;0,15;0,15;0,0;48,13;48,13;0,0
Feraligatr;BESTEHEND;STABIL;63;63;0;63;63;0;0,13;0,13;0,0;39,53;39,53;0,0
Great Tusk Mill;BESTEHEND;STABIL;64;64;0;62;62;0;0,13;0,13;0,0;47,58;47,58;0,0
Paldean Tauros;BESTEHEND;STABIL;65;65;0;62;62;0;0,13;0,13;0,0;45,42;45,42;0,0
Yanmega;BESTEHEND;STABIL;66;66;0;57;57;0;0,12;0,12;0,0;45,58;45,58;0,0
Dragapult Blaziken;BESTEHEND;STABIL;68;68;0;56;56;0;0,12;0,12;0,0;47,98;47,98;0,0
Mega Kangaskhan;BESTEHEND;STABIL;69;69;0;55;55;0;0,12;0,12;0,0;35,78;35,78;0,0
Palafin;BESTEHEND;STABIL;70;70;0;53;53;0;0,11;0,11;0,0;41,71;41,71;0,0
Tyranitar;BESTEHEND;STABIL;71;71;0;53;53;0;0,11;0,11;0,0;37,93;37,93;0,0
Rocket's Spidops;BESTEHEND;STABIL;72;72;0;52;52;0;0,11;0,11;0,0;42,98;42,98;0,0
Hydrapple;BESTEHEND;STABIL;73;73;0;51;51;0;0,11;0,11;0,0;44,39;44,39;0,0
Mega Latias;BESTEHEND;STABIL;74;74;0;51;51;0;0,11;0,11;0,0;36,28;36,28;0,0
Ancient Box;BESTEHEND;STABIL;75;75;0;47;47;0;0,1;0,1;0,0;51,38;51,38;0,0
Tsareena;BESTEHEND;STABIL;76;76;0;47;47;0;0,1;0,1;0,0;32,14;32,14;0,0
Mega Camerupt;BESTEHEND;STABIL;77;77;0;43;43;0;0,09;0,09;0,0;34,62;34,62;0,0
Blissey;BESTEHEND;STABIL;78;78;0;42;42;0;0,09;0,09;0,0;43,14;43,14;0,0
Blaziken;BESTEHEND;STABIL;79;79;0;41;41;0;0,09;0,09;0,0;37,11;37,11;0,0
Flareon;BESTEHEND;STABIL;81;81;0;40;40;0;0,09;0,09;0,0;33,11;33,11;0,0
Poison Latias;BESTEHEND;STABIL;82;82;0;39;39;0;0,08;0,08;0,0;41,4;41,4;0,0
Iono's Bellibolt;BESTEHEND;STABIL;83;83;0;38;38;0;0,08;0,08;0,0;48,82;48,82;0,0
