deck_name;tournaments_seen;total_brought_weighted;top8_count_weighted;top16_count_weighted;top8_conv_rate;top16_conv_rate;avg_winrate_in_top8;last_seen_date;source_format;total_brought;top8_count;top16_count
Diancie Dusknoir;25;19.0;1.0;2.0;0.0526;0.1053;26.5;2026-09-07;PBL;30;2;3
Mega Abomasnow;23;17.0;0.0;0.0;0.0;0.0;0.0;2026-09-07;PBL;27;0;0
Mega Charizard X;19;17.0;0.0;0.5;0.0;0.0294;0.0;2026-09-07;PBL;25;0;1
Ogerpon Meganium;19;15.5;0.0;0.5;0.0;0.0323;0.0;2026-09-08;PBL;24;0;1
Flareon Noctowl;21;15.0;0.0;0.0;0.0;0.0;0.0;2026-09-02;PBL;25;0;0
Froslass Munkidori;19;13.5;0.5;0.5;0.037;0.037;18.0;2026-09-04;PBL;22;1;1
Palafin;21;12.5;0.5;1.0;0.04;0.08;22.0;2026-09-04;PBL;23;1;2
Marnie's Grimmsnarl;16;12.0;0.5;0.5;0.0417;0.0417;25.0;2026-09-07;PBL;19;1;1
Hop's Zacian;17;12.0;0.5;1.5;0.0417;0.125;16.0;2026-09-06;PBL;18;1;3
Bronzong;14;11.0;0.0;0.5;0.0;0.0455;0.0;2026-09-06;PBL;17;0;1
Mega Dragonite;14;10.5;0.0;0.5;0.0;0.0476;0.0;2026-09-02;PBL;19;0;1
Dudunsparce Control;11;9.5;0.0;0.0;0.0;0.0;0.0;2026-09-08;PBL;12;0;0
Ursaluna Lunatone;14;9.5;0.0;0.0;0.0;0.0;0.0;2026-09-07;PBL;14;0;0
Noctowl Ogerpon-Wellspring;15;9.0;1.0;1.0;0.1111;0.1111;23.0;2026-09-04;PBL;17;2;2
Mega Camerupt;14;8.5;0.0;0.0;0.0;0.0;0.0;2026-09-06;PBL;15;0;0
Dudunsparce Mega Froslass;14;8.5;0.0;0.0;0.0;0.0;0.0;2026-09-06;PBL;15;0;0
Ethan's Magcargo;11;8.0;0.0;0.0;0.0;0.0;0.0;2026-09-07;PBL;12;0;0
Archaludon Dudunsparce;10;7.5;0.0;0.0;0.0;0.0;0.0;2026-09-07;PBL;10;0;0
Azumarill;11;7.5;0.5;0.5;0.0667;0.0667;24.0;2026-09-06;PBL;13;1;1
Yanmega;10;7.0;0.0;1.0;0.0;0.1429;0.0;2026-09-07;PBL;10;0;1
Doublade;11;7.0;0.0;0.0;0.0;0.0;0.0;2026-09-06;PBL;12;0;0
Alakazam;7;6.0;0.5;0.5;0.0833;0.0833;22.0;2026-09-04;PBL;11;1;1
Sinistcha Ogerpon;8;5.5;1.0;2.0;0.1818;0.3636;22.0;2026-09-04;PBL;10;1;3
Wailord;8;5.0;0.0;0.0;0.0;0.0;0.0;2026-09-07;PBL;8;0;0
Jellicent Dusknoir;9;5.0;0.5;0.5;0.1;0.1;18.0;2026-09-07;PBL;9;1;1
Mega Feraligatr;6;5.0;0.0;0.0;0.0;0.0;0.0;2026-09-06;PBL;7;0;0
Sylveon;6;5.0;0.0;0.0;0.0;0.0;0.0;2026-09-06;PBL;6;0;0
Iono's Bellibolt;6;4.5;0.0;0.0;0.0;0.0;0.0;2026-09-07;PBL;6;0;0
Joltik Box;8;4.5;0.0;0.0;0.0;0.0;0.0;2026-09-07;PBL;8;0;0
Mamoswine;6;4.5;1.0;1.0;0.2222;0.2222;12.0;2026-09-06;PBL;6;1;1
Archaludon;7;4.5;0.5;0.5;0.1111;0.1111;24.0;2026-09-04;PBL;8;1;1
Paldean Tauros;8;4.5;0.0;0.5;0.0;0.1111;0.0;2026-09-04;PBL;8;0;1
Decidueye;6;4.0;0.0;0.0;0.0;0.0;0.0;2026-09-07;PBL;7;0;0
Dragapult Froslass;5;4.0;0.0;1.5;0.0;0.375;0.0;2026-09-06;PBL;6;0;2
Mega Gengar;5;4.0;0.0;0.0;0.0;0.0;0.0;2026-09-04;PBL;5;0;0
Greninja Blaziken;7;4.0;0.0;0.0;0.0;0.0;0.0;2026-09-02;PBL;7;0;0
Misty's Gyarados;4;3.5;0.0;0.0;0.0;0.0;0.0;2026-09-08;PBL;4;0;0
Eelektrik;5;3.5;0.0;0.0;0.0;0.0;0.0;2026-09-02;PBL;5;0;0
Iron Thorns;5;3.5;0.0;0.0;0.0;0.0;0.0;2026-08-30;PBL;7;0;0
Erika's Victreebel;5;3.0;0.0;0.0;0.0;0.0;0.0;2026-09-06;PBL;5;0;0
Tyranitar;3;2.5;0.0;0.0;0.0;0.0;0.0;2026-09-07;PBL;3;0;0
Mega Lopunny;3;2.5;0.0;0.0;0.0;0.0;0.0;2026-09-07;PBL;3;0;0
Raging Bolt Bellibolt;3;2.5;0.0;1.0;0.0;0.4;0.0;2026-09-02;PBL;3;0;1
Archaludon Zoroark;4;2.5;0.0;0.0;0.0;0.0;0.0;2026-09-02;PBL;4;0;0
Terapagos Noctowl;5;2.5;0.0;0.5;0.0;0.2;0.0;2026-08-25;PBL;5;0;1
Zygarde Barbaracle;5;2.5;0.0;0.0;0.0;0.0;0.0;2026-08-21;PBL;5;0;0
Mega Sharpedo;3;2.0;0.0;0.0;0.0;0.0;0.0;2026-09-06;PBL;3;0;0
Toxtricity Brute Bonnet;3;2.0;0.0;0.0;0.0;0.0;0.0;2026-09-04;PBL;3;0;0
Rocket's Spidops;3;2.0;0.0;0.0;0.0;0.0;0.0;2026-09-02;PBL;3;0;0
Gengar;4;2.0;0.0;0.0;0.0;0.0;0.0;2026-08-23;PBL;4;0;0
Blaziken;4;2.0;0.0;0.0;0.0;0.0;0.0;2026-08-15;PBL;4;0;0
Mega Latias;2;1.5;0.0;0.0;0.0;0.0;0.0;2026-09-02;PBL;2;0;0
